"","soc_2010","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1","11-1011",26,26,2000,2025,2012.5,1513909.14378461,1506393.80792692,1477858.76118846,28535.0467384615,1098594.55752692,407799.2504,0.265480570109683,1842.87723293654,1915.63461538462,49.9746803487586,50.6538461538462,104.39088763947,108.5
"2","11-1021",23,23,2003,2025,2014,1083912.28406957,1079768.27651304,1047041.88749565,32726.3890173913,744544.290673913,335223.98583913,0.308018411826304,1474.85520276051,1318.84782608696,43.9054626362225,43.8695652173913,96.5662747898559,101.913043478261
"3","11-2011",23,23,2003,2025,2014,72873.2850217391,72873.2850217391,70020.4553304348,2852.82969130435,32215.1615652174,40658.1234565217,0.554236355248322,1381.39963225181,1197.02173913043,39.539051488384,36.6521739130435,105.656689867446,111
"4","11-2020",26,26,2000,2025,2012.5,1044529.60036923,1040070.15113077,1000796.25758462,39273.8935461538,580585.673623077,459484.477507692,0.437463424339832,1512.21206350802,1369.55769230769,42.040952334131,41.2115384615385,103.191221476187,111
"5","11-2031",23,23,2003,2025,2014,86088.7205869565,85860.0075434783,83644.5536695652,2215.45387391304,30901.1698086957,54958.8377347826,0.62125243279758,1454.32702864768,1204.71739130435,43.0839149197923,43.4565217391304,109.040099694857,111.521739130435
"6","11-3011",23,23,2003,2025,2014,159232.683795652,158226.516208696,151899.000978261,6327.51523043478,97749.1532391304,60477.3629695652,0.375862352610442,1265.40334398326,1172.02173913043,47.1075723785403,48.6739130434783,93.8734471354242,90.1086956521739
"7","11-3021",23,23,2003,2025,2014,621961.427317391,619763.493586957,603663.128047826,16100.3655391304,440881.1962,178882.297386957,0.288206402246411,1767.48237753667,1725.34782608696,44.0766785932852,44.0434782608696,107.068301244258,111
"8","11-3031",26,26,2000,2025,2012.5,1258858.87063462,1253957.44599615,1221656.28731154,32301.1586846154,567510.514323077,686446.931673077,0.546747113778745,1396.38803693914,1250.92307692308,43.3173143654574,43.3461538461538,102.266735821005,111
"9","11-3051",23,23,2003,2025,2014,293784.266491304,292034.946656522,282165.40493913,9869.5417173913,235855.175782609,56179.770873913,0.191196727982857,1475.9627557547,1355.86956521739,45.3705109571035,45.7608695652174,94.500771776395,92.0652173913043
"10","11-3061",26,26,2000,2025,2012.5,208669.641369231,207488.834242308,201380.801407692,6108.03283461538,111343.227161538,96145.6070807692,0.456261342895351,1371.9774524839,1210.86538461538,45.2740396371305,46.4230769230769,100.543604038779,108.807692307692
"11","11-3071",23,23,2003,2025,2014,301269.023147826,299997.044865217,289461.639373913,10535.4054913043,244098.620717391,55898.4241478261,0.182477216447891,1131.0498532505,960.847826086957,43.9636004987316,44.0869565217391,87.9861489439071,81.4347826086957
"12","11-3111",15,15,2011,2025,2018,20647.0275,20549.8539,20057.7845533333,492.069346666667,5340.08796,15209.76594,0.723715146588187,999.916666666667,794.1,46.2148836348836,44.2666666666667,104.905180966723,106.566666666667
"13","11-3121",26,26,2000,2025,2012.5,290148.734973077,288877.123046154,278918.424584615,9958.69846153846,81478.6076346154,207398.515411538,0.712862738951467,1375.72811140391,1243.34615384615,44.4242058385715,44.4038461538462,104.171972110716,111
"14","11-3131",15,15,2011,2025,2018,54245.0590133333,53801.43568,52330.3890133333,1471.04666666667,27828.2667466667,25973.1689333333,0.470049166687712,1529.1017989418,1533.7,43.8966599531771,42.6,103.439866205377,108.366666666667
